Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Tipo de Implicado (1),Tipo de Implicado (2),Nº Victimas,Fuente,
6,1,1981,Santander,Barrancabermeja,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
7,1,1981,Huila,Algeciras,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
10,1,1981,Cesar,Valledupar,,Fuerza Publica,Policia Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
17,1,1981,Distrito Capital,Bogota D.C.,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
20,1,1981,Valle del Cauca,Cali,"Sector de 'Vojes""",Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
20,1,1981, Antioquia,Puerto Berrio,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
20,1,1981,Distrito Capital,Bogota D.C.,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
27,1,1981,Distrito Capital,Bogota D.C.,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
31,1,1981,Distrito Capital,Bogota D.C.,,Fuerza Publica,Policia Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp. 3,
6,2,1981,Tolima,Melgar,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 3,
3,3,1981,Cauca,Santander de Quilichao,,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp. 5,
5,3,1981,Caqueta,San Vicente del Caguan,"Sitio ""Las Perlas'",Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 5,
8,3,1981,Cundinamarca,Yacopi,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 5,
18,3,1981,Cauca,Jambalo,,Grupos Paramilitares,Grupos Paramilitares,4,Itinerario de la Represion Oficial y Militar en 1981. Pp.6,
18,3,1981,Boyaca,Tutasa,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.6,
23,3,1981,Guaviare ,San Jose del Guaviare,Sitio Cano Cafre,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.7,
24,3,1981,Caqueta,Florencia,Norcasia,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.7,
25,3,1981,Cauca,Puerto Tejada,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.7,
26,3,1981,Tolima,Melgar,,Fuerza Publica,Policia Nacional,3,Itinerario de la Represion Oficial y Militar en 1981. Pp.7,
28,3,1981,Caqueta,Florencia,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.7,
30,3,1981,Boyaca,Otanche,,Fuerza Publica,Agentes Secretos,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.8,
30,3,1981,Meta,San Juan de Arama,Batallon Vargas,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.8,
8,4,1981, Antioquia,Mutata,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.8,
8,4,1981, Antioquia,Turbo,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.8,
23,4,1981,Guaviare ,San Jose del Guaviare,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
24,4,1981,Caqueta,Albania,,Fuerza Publica,Ejercito Nacional,3,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
24,4,1981,Caqueta,El Paujil,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
26,4,1981,Caqueta,Puerto Rico,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
27,4,1981,Caqueta,Florencia,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
29,4,1981,Santander,Santa Elena del Opon,,Grupos Paramilitares,Grupos Paramilitares,3,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
4,5,1981,Caqueta,Albania,,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.10,
5,5,1981,,San Juan Bosco,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.10,
5,5,1981,Santander,San Francisco,,Fuerza Publica,Policia Nacional,3,Itinerario de la Represion Oficial y Militar en 1981. Pp.10,
