Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Hecho Simultaneos,Tipo de Arma,Tipo de Implicado (2),No Victimas Fatales,Combatientes,Poblacion Civil,Lesionado,Fuente,
1,1,1988,Caqueta,San Jose de la Fragua,Cabecera Municipal,Lesionado,,Guerrilla-FARC,1,1,,2,Boletin Informativo Justicia y Paz Vol. 1 No 1 Pp. 23,
3,1,1988,Antioquia,Valdivia,Cabecera Municipal,,,Guerrilla-CGSB,7,7,,,Boletin Informativo Justicia y Paz Vol. 1 No 1 Pp. 23,
19,1,1988,Cauca,Lopez,Cabecera Municipal,,,Guerrilla-FARC,,,,,Boletin Informativo Justicia y Paz Vol. 1 No 1 Pp. 24,
22,1,1988,Antioquia,Yolombo,Cabecera Municipal,,,Guerrilla-CGSB,6,6,,,Boletin Informativo Justicia y Paz Vol. 1 No 1 Pp. 24,
30,1,1988,Norte de Santander,Cachira,Cabecera Municipal,,,Guerrilla-CGSB,1,1,,,Boletin Informativo Justicia y Paz Vol. 1 No 1 Pp. 24,
6,2,1988,Antioquia,Jerico,Cabecera Municipal,Lesionado,,Guerrilla-EPL,1,1,,1,Boletin Informativo Justicia y Paz Vol. 1 No 1 Pp. 37,
1,3,1988,Cesar,Pelaya,Cabecera Municipal,,,Guerrilla-ELN,4,4,,,Boletin Informativo Justicia y Paz Vol. 1 No 1 Pp. 54,
7,4,1988,Antioquia,Ituango,Cabecera Municipal,Lesionado,,Guerrilla-FARC,,,,7,Boletin Informativo Justicia y Paz Vol. 2 No 2 Pp. 25,
18,4,1988,Cesar,Chiriguana,Corregimiento Santa Isabel,,,Guerrilla-ELN,,,,,Boletin Informativo Justicia y Paz Vol. 2 No 2 Pp. 26,
20,4,1988,Vaupes,Mitu,Cabecera Municipal,,,Guerrilla-FARC,2,2,,,Boletin Informativo Justicia y Paz Vol. 2 No 2 Pp. 26,
10,5,1988,Cesar,Gonzalez,Cabecera Municipal,Lesionado,,Guerrilla-CGSB,1,1,,2,Boletin Informativo Justicia y Paz Vol. 2 No 2 Pp. 46,
19,5,1988,Casanare,San Luis de Palenque,Cabecera Municipal,,,Guerrilla-FARC,2,2,,,Boletin Informativo Justicia y Paz Vol. 2 No 2 Pp. 47,
28,5,1988,Magdalena,Plato,Corregimiento Apure,,,Guerrilla-ELN,,,,,Boletin Informativo Justicia y Paz Vol. 2 No 2 Pp. 48,
28,5,1988,Santander,Carcasi,Cabecera Municipal,,,Guerrilla-ELN,2,2,,,Boletin Informativo Justicia y Paz Vol. 2 No 2 Pp. 48,
4,6,1988,Antioquia,Valparaiso,Cabecera Municipal,,,Guerrilla-EPL,3,3,,,Boletin Informativo Justicia y Paz Vol. 2 No 2 Pp. 68,
11,6,1988,Antioquia,Granada,Cabecera Municipal,Lesionado,,Guerrilla-FARC y ELN,4,4,,5,Boletin Informativo Justicia y Paz Vol. 2 No 2 Pp. 69,
11,6,1988,Tolima,Rovira,IP Andes,,,Guerrilla-FARC,2,2,,,Boletin Informativo Justicia y Paz Vol. 2 No 2 Pp. 69,
27,6,1988,Bolivar,Santa Rosa del Sur,Cabecera Municipal,,,Guerrilla-ELN,1,1,,,Boletin Informativo Justicia y Paz Vol. 2 No 2 Pp. 70,
13,7,1988,Arauca,Tame,IP Betoyes,,,Guerrilla-ELN,,,,,Boletin Informativo Justicia y Paz Vol. 2 No 3 Pp. 34,
30,8,1988,Huila,Santa Maria,Cabecera Municipal,Lesionado,,Guerrilla-FARC,,,,,Boletin Informativo Justicia y Paz Vol. 2 No 3 Pp. 59,
19,9,1988,Caqueta,Morelia,IP La Granja,Lesionado,,Guerrilla-FARC y M-19,2,2,,,Boletin Informativo Justicia y Paz Vol. 2 No 3 Pp. 79,
5,10,1988,Bolivar,San Pablo,Cabecera Municipal,,,Guerrilla-FARC y ELN,9,9,,,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 39,
5,10,1988,Bolivar,San Pablo,Corregimiento Cantagallo,,,Guerrilla-FARC y ELN,1,1,,,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 39,
23,10,1988,Antioquia,Necocli,Cabecera Municipal,Lesionado,,Guerrilla-FARC y EPL,3,3,,1,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 41,
23,10,1988,Antioquia,Turbo,IP Currulao, ,,Guerrilla-CGSB,,,,,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 41,
12,11,1988,Boyaca,Chita,Cabecera Municipal,,,Guerrilla-ELN,,,,,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 66,
14,11,1988,Casanare,Pore,Cabecera Municipal,,,Guerrilla-FARC,4,4,,,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 66,
19,11,1988,Antioquia,Argelia,Cabecera Municipal,,,Guerrilla-ELN,2,2,,,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 67,
24,11,1988,Cordoba,Tierralta,Corregimiento Saiza,,,Guerrilla-FARC y EPL,36,25,11,4,Boletin Informativo Justicia y Paz Vol. 2 No 3 Pp. 58,
30,11,1988,Antioquia,Caucasia,IP Cuturu,,,Guerrilla-CGSB,,,,,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 68,
29,11,1988,Santander,Tona,IP Berlin,Civil Muerto,,Guerrilla-CGSB,1,,1,,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 62,
4,12,1988,Antioquia,La Union,Cabecera Municipal,,,Guerrilla-EPL,,,,,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 89,
4,12,1988,Cesar,San Diego,Corregimiento Media Luna,,,Guerrilla-ELN,2,2,,,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 89,
16,12,1988,Antioquia,San Andres,Cabecera Municipal,Lesionado,,Guerrilla-EPL,,,,,Boletin Informativo Justicia y Paz Vol. 2 No 4 Pp. 89,
2,1,1988,Antioquia,Betulia,Corregimiento Altamira,,Fusiles,Guerrilla-EPL,1,,1,,"Boletin Informativo Justicia y Paz, Vol. 1, N° 1, Pp. 23",
9,2,1988,Cesar,Becerril,Cabecera Municipal, ,Fusiles,Guerrilla-FARC,1,,1,,"Boletin Informativo Justicia y Paz, Vol. 1, N°1 Pp. 35 ",
10,2,1988,Tolima,Ataco ,Vereda Campohermoso,,Fusiles,Guerrilla-FARC,3,,3,,"Boletin Informativo Justicia y Paz, Vol. 1, N°1 Pp. 35 ",
13,3,1988,Putumayo,Valle del Guamuez,IP El Placer,,Fusiles,Guerrilla No Identificada,2,1,1,,"Boletin Informativo Justicia y Paz, Vol. 1, N°1 Pp. 51",
22,3,1988,Cauca,Caldono,IP Siberia, ,Fusiles,Guerrilla-CGSB,6,4,2,,"Boletin Informativo Justicia y Paz, Vol. 1, N°1 Pp. 52",
29,3,1988,Narino,El Rosario,Cabecera Municipal,,Fusiles,Guerrilla-FARC,2,,2,,"Boletin Informativo Justicia y Paz, Vol. 1 N°1 Pp. 56",
30,3,1988,Huila,Garzon,IP San Antonio del Pescado,Lesionado,Fusiles,Guerrilla-CGSB,7,4,3,,"Boletin Informativo Justicia y Paz, Vol. 1, N°1 Pp. 53",
