municipio;lat;lon
abejorral;5.789304485;-75.4287381
armenia;6.155818729;-75.78683783
ayapel;8.314446629;-75.14629076
barrancabermeja;7.064963864;-73.84995698
barranquilla;10.97592682;-74.79525905
bello;6.334068836;-75.55466507
bogota;4.65017303;-74.107359
bucaramanga;7.116267276;-73.13259818
buenaventura;3.875802437;-77.117402
buga;4.208331592;-76.15680774
caldas;6.091296966;-75.63361872
cali;3.414414305;-76.52156515
cartagena;10.38498552;-75.49643103
caucasia;7.977362333;-75.19829033
cerro san antonio;10.32565943;-74.868473
chinchina;4.985812862;-75.60748073
chiquinquira;5.61412789;-73.81838763
cienaga;11.00665688;-74.24128616
cienaga de oro;8.875502246;-75.62078664
confines;6.35732749;-73.24055388
coyaima;3.79802798;-75.1938783
cucuta;7.905306295;-72.5082562
cumbal;0.906185361;-77.79227662
cumbitara;1.646845971;-77.57814673
curumani;9.201810592;-73.54098652
dosquebradas;4.827187832;-75.68246912
el copey;10.14952543;-73.96271744
facatativa;4.813064178;-74.35022793
filadelfia;5.29709071;-75.56247406
florencia;1.61792293;-75.60856043
florida;3.323918106;-76.23450174
ginebra;3.724181147;-76.26806789
girardot;4.313078337;-74.79779459
guadalajara de buga;3.900823544;-76.29896113
guamal;9.144385832;-74.22369928
ibague;4.439608991;-75.19371478
icononzo;4.176436205;-74.53197619
ipiales;0.827734241;-77.64640075
la union;5.973868218;-75.3608659
magangue;9.268563794;-74.77017457
majagual;8.540712996;-74.6281014
manati;10.44896238;-74.95703499
manizales;5.057688197;-75.49104898
manzanares;5.255720253;-75.15282885
marinilla;6.172269255;-75.33947788
medellin;5.610109776;-74.88681663
mitu;1.251190563;-70.23475052
moniquira;5.876334811;-73.57337039
montelibano;7.973777244;-75.41681813
monteria;8.745132591;-75.87557791
monterrey;4.876845436;-72.89503614
morroa;9.331319381;-75.30619978
muzo;5.532462867;-74.10275078
neiva;2.935604415;-75.27772259
nimaima;5.126026248;-74.38600738
padilla;3.220853836;-76.31329089
pasto;1.212124365;-77.27857635
pelaya;8.688650964;-73.66635487
pereira;4.805680265;-75.71712306
popayan;2.482503391;-76.57406468
puerto asis;0.505046722;-76.49727285
puerto lleras;3.269732439;-73.37374343
purace;2.381061038;-76.45536815
quinchia;5.34044568;-75.7304126
riofrio;4.156904989;-76.28831268
rionegro;6.14722409;-75.37676938
rosas;2.260979699;-76.74035187
sampues;9.183205955;-75.38019123
san juan nepomuceno;9.953454388;-75.8135293
san martin;7.999895459;-73.51097518
san pedro de uraba;8.276886664;-76.38057789
san vicente de chucuri;6.880382935;-73.41102393
sandona;1.28613693;-77.46956757
santa marta;11.2294335;-74.19089412
santa rosa de osos;6.643326001;-75.46074502
santuario;5.072781139;-75.96211553
sincelejo;9.302333104;-75.39548356
soacha;4.585491658;-74.21452753
soledad;10.91017447;-74.78483338
sutamarchan;5.619781419;-73.6205861
tumaco;1.80711725;-78.76385415
tunja;5.539953238;-73.35548873
uraba;8.759341801;-76.52879434
valledupar;10.46048122;-73.25938931
villa fatima;12.22545514;-71.47319263
villavicencio;4.1238615;-73.62709204
viota;4.439355814;-74.52316032
